Nome,Email,WhatsApp,Valor Conta,Fase,Distribuidora,Status,Data Criacao
"Sorveteria Gostoso Ltda",sorveteriagostosoltda83@gmail.com,(31) 91400-5353,2105,BIFASICO,CEMIG Minas Gerais,new,2025-11-03T02:27:43.696Z
"Açougue Premium",aouguepremium83@gmail.com,(31) 95135-8267,1192,BIFASICO,CEMIG Minas Gerais,new,2025-11-16T20:15:38.940Z
"Sorveteria Sabor",sorveteriasabor25@gmail.com,(31) 90130-2968,2694,TRIFASICO,CEMIG Minas Gerais,new,2025-12-23T11:07:35.376Z
"Padaria Puro",padariapuro99@gmail.com,(31) 97780-7219,4176,MONOFASICO,CEMIG Minas Gerais,new,2025-12-27T13:53:35.614Z
"Padaria Mais Ltda",padariamaisltda98@gmail.com,(31) 90013-3421,1906,BIFASICO,CEMIG Minas Gerais,new,2025-11-09T05:53:04.413Z
"Mercado do Bairro Express",mercadodobairroexpress41@gmail.com,(31) 98445-7713,331,BIFASICO,CEMIG Minas Gerais,new,2025-12-18T13:10:41.877Z
"Padaria Gostoso",padariagostoso63@gmail.com,(31) 99388-5686,610,MONOFASICO,CEMIG Minas Gerais,new,2025-12-05T11:26:21.777Z
"Açougue Sabor Ltda",aouguesaborltda13@gmail.com,(31) 95994-3725,1233,BIFASICO,CEMIG Minas Gerais,new,2025-10-26T21:49:28.503Z
"Padaria Central e Cia",padariacentralecia56@gmail.com,(31) 92359-3381,1445,TRIFASICO,CEMIG Minas Gerais,new,2025-12-14T10:45:13.602Z
"Mercado Central e Cia",mercadocentralecia55@gmail.com,(31) 99945-9368,1287,BIFASICO,CEMIG Minas Gerais,new,2025-12-09T05:40:56.162Z
"Antonio Rodrigues",antoniorodrigues74@gmail.com,(31) 95596-3423,4207,BIFASICO,CEMIG Minas Gerais,new,2025-10-24T01:41:29.776Z
"Açougue Puro Ltda",aouguepuroltda38@gmail.com,(31) 95838-8089,4708,BIFASICO,CEMIG Minas Gerais,new,2025-10-28T03:36:32.891Z
"Mercado Central Ltda",mercadocentralltda65@gmail.com,(31) 99229-9224,1398,MONOFASICO,CEMIG Minas Gerais,new,2025-11-06T23:55:02.026Z
"Padaria Gostoso Ltda",padariagostosoltda88@gmail.com,(31) 90838-7417,4685,TRIFASICO,CEMIG Minas Gerais,new,2025-10-22T09:40:30.461Z
"Lucas Pereira",lucaspereira76@gmail.com,(31) 90279-2588,3387,BIFASICO,CEMIG Minas Gerais,new,2025-11-26T10:09:18.603Z
"Sandra Ferreira",sandraferreira44@gmail.com,(31) 96773-5221,3194,BIFASICO,CEMIG Minas Gerais,new,2025-12-25T06:29:28.482Z
"Padaria Mineiro e Cia",padariamineiroecia52@gmail.com,(31) 97214-8485,4089,MONOFASICO,CEMIG Minas Gerais,new,2025-11-06T02:44:08.290Z
"Sorveteria Mais Express",sorveteriamaisexpress10@gmail.com,(31) 97983-2009,4085,MONOFASICO,CEMIG Minas Gerais,new,2025-10-16T08:40:23.098Z
"Açougue Mais Express",aouguemaisexpress53@gmail.com,(31) 93151-3654,2075,TRIFASICO,CEMIG Minas Gerais,new,2025-10-13T01:49:19.190Z
"Padaria Premium e Cia",padariapremiumecia59@gmail.com,(31) 97947-9040,2953,TRIFASICO,CEMIG Minas Gerais,new,2025-10-31T21:38:01.337Z
"Mercado Mineiro",mercadomineiro5@gmail.com,(31) 97200-4058,3276,TRIFASICO,CEMIG Minas Gerais,new,2025-10-19T04:48:26.559Z
"Mercado Puro Express",mercadopuroexpress22@gmail.com,(31) 92303-2489,1545,TRIFASICO,CEMIG Minas Gerais,new,2025-12-20T01:31:54.610Z
"Padaria Tropical Express",padariatropicalexpress90@gmail.com,(31) 99924-3421,3580,BIFASICO,CEMIG Minas Gerais,new,2025-12-30T08:27:37.722Z
